"x,","y","astig_1","defocus","astig_2"
2,6,-11.3326141216436,-11.2044248756814,0.351483350922207
3,6,-10.8279113134308,-10.2789871056976,0.552172574021499
4,6,-11.1930646651137,-10.3153056288969,-2.25012355869705
5,6,-10.2628643723016,-9.48172958482609,-0.501401048425787
6,6,-7.21702047237189,-8.74599415910865,2.52272129183585
7,6,-12.2139386916534,-10.3841557421359,3.02193236172458
8,6,-9.09523576450734,-9.78712546171013,3.42762429517442
9,6,-9.42936004565261,-7.64489067277919,4.43550768424577
10,6,-8.92191120402205,-7.39170968819672,2.84262226664867
11,6,-7.48231558065948,-6.37341611147829,5.25855272088997
12,6,-6.99943241547805,-6.11047210063518,4.29714191290719
13,6,-6.14049230551397,-6.14164193226408,4.13447278540969
14,6,-3.73437025262514,-4.55337623500453,3.46833802720852
15,6,-5.86098521903235,-5.4109969789133,4.70523210854768
16,6,-1.46367974330619,-3.91553893537931,4.94551396878708
17,6,-2.88764432772072,-5.28001027787679,5.16870463478531
18,6,-1.08168100944163,-3.6917450935779,3.56095590784333
19,6,0.21178849927898,-4.25235399078425,3.78296728234966
20,6,0.948007971173119,-3.92474662703765,1.97052812271547
21,6,3.12041306838648,-5.86288025691283,3.98111605419267
22,6,-0.890414217609706,-5.40067574607406,1.90783414289753
23,6,0.0226948762766801,-5.80400387569439,1.9620591297461
24,6,3.02983384588691,-5.38495818100443,3.51014418790409
25,6,2.04510611449991,-5.94308434664553,1.76220031367345
26,6,2.00612958157723,-6.35105774936945,3.04002204013772
27,6,3.31969352808759,-6.98266050537277,0.809265573029095
28,6,5.67425159020805,-8.45695923804828,2.04623128949208
29,6,4.92840776332852,-9.45750864975813,1.47524293476723
30,6,8.27174760678434,-9.79774858012907,1.81780025687478
31,6,7.81588167455539,-10.7889920747784,-0.0486328614217984
32,6,6.10616391281014,-11.6278087285847,-0.120533765974504
33,6,7.07362264834271,-10.697490815225,0.163982497812873
1,7,-12.4190483065981,-10.5823503399612,-0.752266719799036
2,7,-11.4380201271896,-10.7661487377382,-0.454034387884399
3,7,-9.25988612246597,-9.85514370188086,-1.7160080238741
4,7,-8.81138786735437,-10.2667520426532,-2.70182606831508
5,7,-7.98647893122812,-9.83144337015721,-4.39228777535754
6,7,-5.56674909557438,-7.85140704542534,0.0697952013948114
7,7,-4.29288675029123,-6.6546513832033,-0.20284126640863
8,7,-3.07547961478835,-4.64260237670069,2.35437359258189
9,7,-7.5577584260772,-6.83055060912125,4.75470823171469
10,7,-5.15704252214785,-5.5206711213846,2.70182616928057
11,7,-7.19127305060436,-6.10881339992311,4.65206475071193
12,7,-3.59302933232429,-5.20096181291589,4.16539512065298
13,7,-1.50694474237296,-3.55335846256458,2.90171391014211
14,7,-1.93351415242692,-3.26244898519409,2.14055652224776
15,7,-5.40936065185512,-4.33750225830248,2.33243239001785
16,7,-0.168321961576665,-2.4362210888142,2.1906386412221
17,7,-1.83678362746623,-3.67166306603068,1.83571671664821
18,7,1.56006684646378,-4.21849239548393,3.38426452958613
19,7,3.54079551883802,-4.8030275392883,5.03646177532293
20,7,4.13811852092649,-4.84904077108517,3.1529919294244
21,7,2.46965297152869,-5.01360704256454,4.31480670917848
22,7,0.491999159068854,-3.94384168616869,3.61588032861569
23,7,0.355928381463111,-4.53136490485115,2.1520863807634
24,7,4.79395298672612,-5.50861154675343,3.66618619532104
25,7,3.27434912157406,-5.7816556325774,4.19143741417734
26,7,-0.538939152379144,-5.26374349560325,2.10030810380902
27,7,-1.64018677166307,-7.25762935099977,0.178611477203016
28,7,3.73193101657385,-7.16805288087973,1.06708346231312
29,7,0.174975590928901,-10.1315589255019,-1.37224799841504
30,7,2.83045351990844,-10.8520201719521,-2.22212615390894
31,7,3.41269902136677,-12.1005498908287,-3.68952635226438
32,7,7.78995475082694,-9.83267298615868,-2.1360163661691
33,7,10.8005458730183,-8.87100617372832,-1.45619431660653
1,8,-12.8668678812248,-10.3234496520436,-1.10583093699636
2,8,-11.6624968499986,-9.90168508336,-0.533608038673916
3,8,-9.29344528396843,-8.41908510713139,0.120114039874065
4,8,-8.8786072065614,-8.3364145313639,-1.31945128908962
5,8,-7.56508853874671,-8.59393289816021,-3.8714962558961
6,8,-3.95826703723744,-6.5260306729457,-1.9070040792418
7,8,-2.7061888943094,-6.0085443220534,-1.19641820276863
8,8,-3.31126185376289,-3.66250941269855,-0.0379718430899759
9,8,-3.60400521253766,-5.45791434039673,3.39701191257761
10,8,-0.649669671203278,-3.38038849222515,1.4568726858925
11,8,-0.184298951166059,-3.13649889761752,0.855681042378777
12,8,-2.9276620864229,-5.31240733282964,0.272922386415877
13,8,1.0329845538023,-2.78731200026876,0.461721712832453
14,8,-0.236132737054389,-3.12941009006855,0.346515222158421
15,8,0.161467318930514,-3.66194167592567,-0.162029370121002
16,8,0.111566974857214,-2.52330210391998,-0.18496229232165
17,8,-1.0554997831545,-2.68900987205452,-0.443083053694035
18,8,-1.02685560909482,-2.64561673787906,0.0585240231612572
19,8,-0.303478684451826,-3.40083225001061,1.25364617101398
20,8,-0.363371224820553,-3.16104895334891,1.1440856522226
21,8,2.70697000631767,-4.66108571931537,1.96772873629778
22,8,-0.506876734013313,-3.30610567893801,1.9961225911114
23,8,0.245562058646793,-3.55219411770637,2.31682220939933
24,8,3.744834559075,-5.65195305823041,2.3393737847907
25,8,2.46986969190364,-6.18905989508587,3.16361288603579
26,8,4.23231333523754,-6.27673438582321,1.8593071723585
27,8,5.3177606466799,-6.54932629701566,1.59905714662552
28,8,1.80841566145919,-6.93625928225269,-0.600303648927345
29,8,2.74556205262573,-7.32137684999633,-1.55974353057624
30,8,5.42780263379958,-8.17993116958061,-3.71555765970023
31,8,2.45204908526189,-11.0779091235249,-4.93363701964535
32,8,7.30054182749945,-9.42417236057675,-4.7924207518963
33,8,8.79620900625852,-8.28412663040562,-3.65455505126337
1,9,-11.4842709436206,-9.764227867363,-3.78676281202541
2,9,-10.2653903011584,-8.83837314152514,-2.0318554270291
3,9,-8.74725097580723,-7.2237531705764,-1.04136277354301
4,9,-7.87992574267823,-7.26850244812203,-2.1937404903589
5,9,-5.71061863844407,-7.48053777113862,-3.50803262551883
6,9,-2.99186658305047,-5.83388082100227,-2.77877254953532
7,9,-4.96144450633613,-6.85650141582974,1.01679197928757
8,9,-1.55677088853586,-5.56350086064554,0.824765754197393
9,9,-2.3035789815631,-5.04532929562609,2.25576525048586
10,9,0.0893649441068662,-3.5722609746758,0.638869042475784
11,9,-0.887294369599707,-4.13668869594734,1.19123638813609
12,9,-1.94427912450878,-4.69367350468141,1.30340684181911
13,9,0.355481073041032,-3.15502407709192,1.24794140878473
14,9,0.830402320427381,-2.97943298553748,0.977661731372505
15,9,1.10915179491412,-2.60622655914187,-0.49953305787583
16,9,0.53928252403665,-2.10478172177674,-1.62963523561432
17,9,0.242144610011939,-2.54692814379584,-1.39627628419328
18,9,-0.937425476968151,-2.32577133488252,-0.580245541910513
19,9,-0.129415383370598,-2.5807901439022,0.0136948682046174
20,9,1.63423265528522,-3.6752959886912,0.152617076215322
21,9,1.17747512653197,-3.95211560182438,0.129377831937537
22,9,1.17926894085655,-4.11693336497124,-0.101704135995332
23,9,-0.754003572014547,-3.20255654204955,0.0698585814276401
24,9,1.42869885206843,-5.24300043684115,-0.59655320449138
25,9,1.99243426672691,-5.02754174598263,-0.341134137060601
26,9,-0.514934890139524,-3.88514351766076,-0.949041920805622
27,9,1.21551643606139,-3.94415915971149,-1.5076823306503
28,9,3.07063598385661,-5.32642141907867,-2.1139494066753
29,9,3.74185416542772,-5.95931602914081,-2.65559914762751
30,9,5.37469399302271,-6.85102588997539,-3.53592407684327
31,9,6.28537246766901,-7.65247539363897,-5.3813063411112
32,9,6.52831273723659,-8.47567492239468,-5.78848790040262
33,9,7.94701811289262,-8.53845688466227,-5.66125373323858
